id,title,description,link,image_link,availability,price,sale_price,sale_price_effective_date,google_product_category,product_type,brand,gtin,mpn,condition,age_group,color,gender,material,pattern,size,item_group_id,promotion_id,custom_label_0,custom_label_1,custom_label_2,custom_label_3,custom_label_4,shipping,shipping_label,shipping_weight,shipping_length,shipping_width,shipping_height,is_bundle,multipack,minimum_price
13731,Natural Linen Table Lamp Shade 18 inch,"This shade is an elegant color and texture, and its translucency throws extra light to the room. The dimensions below indicate the Top Opening x Bottom Opening x the Side Measurement  Overall Dimensions: 7 inch x 18 inch x 10.5 inch",https://urbanforge.com/shop-product/lamp-shades/natural-linen-table-lamp-shade-18-inch/,https://cdn11.bigcommerce.com/s-p6f4il8ut9/products/13204/images/19791/900-016_900-048__55952__28068.1533247702.1280.1280.jpg?c=2,in stock,243.00 USD,,,Home & Garden > Lighting Accessories > Lamp Shades,Lighting > Lampshades,Urban Forge,,900-016,new,,,,,,,,,,,,,,,,5 oz,,,,No,, USD
13732,Natural Linen Floor Lamp Shade 21 inch,"This shade is an elegant color and texture, and its translucency throws extra light to the room. The dimensions below indicate the Top Opening x Bottom Opening x the Side MeasurementOverall Dimensions: 7 Inch x 21 Inch x 12 Inch",https://urbanforge.com/natural-linen-floor-lamp-shade-21-inch/,https://cdn11.bigcommerce.com/s-p6f4il8ut9/products/13205/images/19792/900-016_900-048__99354__09467.1533247702.1280.1280.jpg?c=2,in stock,237.00 USD,,,Home & Garden > Lighting Accessories > Lamp Shades,Lighting > Lampshades,Urban Forge,,900-048,new,,,,,,,,,,,,,,,,7 oz,,,,No,, USD
13779,Natural Linen Round Lamp Shade 15 inch,"This shade is an elegant color and texture, and its translucency throws extra light to the room. The dimensions below indicate the Top Opening x Bottom Opening x the Side Measurement Dimensions:  5""W x 15""D x 10.5""H",https://urbanforge.com/natural-linen-round-lamp-shade-15-inch/,https://cdn11.bigcommerce.com/s-p6f4il8ut9/products/13252/images/19845/900-060_900-054_900-016_900-048__65147__48320.1539807362.1280.1280.jpg?c=2,in stock,183.00 USD,,,Home & Garden > Lighting Accessories > Lamp Shades,Lighting > Lampshades,Urban Forge,,900-054,new,,,,,,,,,,,,,,,,4 oz,,,,No,, USD
13781,Natural Black Linen Floor Lamp Shade 18 inch,Natural Black Linen Floor Lamp Shade 18 inch,https://urbanforge.com/natural-black-linen-floor-lamp-shade-18-inch/,https://cdn11.bigcommerce.com/s-p6f4il8ut9/products/13254/images/19847/900-055__63544.1273036811.1280.1280__68410__27188.1539807362.1280.1280.jpg?c=2,in stock,201.00 USD,,,Home & Garden > Lighting Accessories > Lamp Shades,Lighting > Lampshades,Urban Forge,,900-017,new,,,,,,,,,,,,,,,,5 oz,,,,No,, USD
13782,Natural Black Linen Iron Table Lamp Shade 15 inch,Natural Black Linen Iron Table Lamp Shade 15 inch,https://urbanforge.com/natural-black-linen-iron-table-lamp-shade-15-inch/,https://cdn11.bigcommerce.com/s-p6f4il8ut9/products/13255/images/19848/900-055__63544__31996.1539807362.1280.1280.jpg?c=2,in stock,189.00 USD,,,Home & Garden > Lighting Accessories > Lamp Shades,Lighting > Lampshades,Urban Forge,,900-055,new,,,,,,,,,,,,,,,,4 oz,,,,No,, USD
13790,Vein Lamp Shade 14 inch,"This shade casts a very warm rich color into the space, and the translucency of this shade accents the beauty of the material used in its construction. The mottled wheat and tan coloration provides an interesting texture even when the lamp is not being used. The dimensions below indicate the Top Opening x Bottom Opening x the Side Measurement Overall Dimension: 6 inch x 14 inch x 9 inchWhat are our customers saying about this piece?""They are perfect, looking at them in my office right now, will definitely be ordering more."" -Patti, Virginia",https://urbanforge.com/shop-product/lamp-shades/vein-lamp-shade-14-inch/,https://cdn11.bigcommerce.com/s-p6f4il8ut9/products/13263/images/19856/vein__52145__38299.1531086949.1280.1280.jpg?c=2,in stock,183.00 USD,,,Home & Garden > Lighting Accessories > Lamp Shades,Lighting > Lampshades,Urban Forge,,900-035,new,,,,,,,,,,,,,,,,4 oz,,,,No,, USD
13791,Vein Floor Lamp Shade 22 inch,"This shade casts a very warm rich color into the space, and the translucency of this shade accents the beauty of the material used in its construction. The mottled wheat and tan coloration provides an interesting texture even when the lamp is not being used. The dimensions below indicate the Top Opening x Bottom Opening x the Side Measurement Overall Dimension: 6 inch x 22 inch x 12.5 inchWhat are our customers saying about this piece?""Thank you for your letter inquiring about the two lampshades I ordered from you recently, YES, they are lovely. I spent a couple of hours looking at lamphsades on the internet becuase I couldn't find just the right ones here in town. I settled on yours because they were the right size, had a wide opening on the top and the shade and texture of the veins let enough light through to provide a warm cozy feel. I will certainly recommend your lampshades to anytone around here who needs some."" -Jane, New Mexico""We are very happy with the shades! Thank you."" -Deborah, Michigan""Thank you. I received the 22"" lamp shade and love it. I will let you know if I have any questions in the future!"" -Elizabeth, Illinois",https://urbanforge.com/shop-product/lamp-shades/vein-floor-lamp-shade-22-inch/,https://cdn11.bigcommerce.com/s-p6f4il8ut9/products/13264/images/19857/900-042__76749__22732.1531086949.1280.1280.jpg?c=2,in stock,237.00 USD,,,Home & Garden > Lighting Accessories > Lamp Shades,Lighting > Lampshades,Urban Forge,,900-042,new,,,,,,,,,,,,,,,,7 oz,,,,No,, USD
13792,Vein Table Lamp Shade 18 inch,"This shade casts a very warm rich color into the space, and the translucency of this shade accents the beauty of the material used in its construction. The mottled wheat and tan coloration provides an interesting texture even when the lamp is not being used. The dimensions below indicate the Top Opening x Bottom Opening x the Side Measurement Overall Dimension: 6 inch x 18 inch x 11 inchWhat are our customers saying about this piece?""The shades came the other day. They look great with my lamps."" -William, Montana""Love my lampshades... thank you..."" -Barbara, New York",https://urbanforge.com/shop-product/lamp-shades/vein-table-lamp-shade-18-inch/,https://cdn11.bigcommerce.com/s-p6f4il8ut9/products/13265/images/19858/900-029__36484__90870.1531086950.1280.1280.jpg?c=2,in stock,243.00 USD,,,Home & Garden > Lighting Accessories > Lamp Shades,Lighting > Lampshades,Urban Forge,,900-029,new,,,,,,,,,,,,,,,,5 oz,,,,No,, USD
13803,Parchment Lamp Shade 15 inch,"This shade casts a very warm rich color into the space, and the translucency of this shade accents the beauty of the material used in its construction. The mottled parchment coloration provides an interesting texture even when the lamp is not being used. The dimensions below indicate the Top Opening x Bottom Opening x the Side Measurement Overall Dimension: 5 inch x15 inch x10.5 inchWhat are our customers saying about this piece?""The lamp shade is a perfect fit for our floor lamp and looks beautiful! Thanks so much."" -Lynn, California""My lamp shades are great...just what I was looking for!"" -Elizabeth, California""Customer service personnel very pleasant; Communication very good; Able to locate a hard to find product; Like the idea of supporting a family owned independent business."" -Donald, Ohio",https://urbanforge.com/shop-product/lamp-shades/parchment-lamp-shade-15-inch/,https://cdn11.bigcommerce.com/s-p6f4il8ut9/products/13276/images/19869/900-056_Parchment_Accent_Lamp_Shade_15__75291__98111.1531086953.1280.1280.jpg?c=2,in stock,233.00 USD,,,Home & Garden > Lighting Accessories > Lamp Shades,Lighting > Lampshades,Urban Forge,,900-056,new,,,,,,,,,,,,,,,,2 oz,,,,No,, USD
13804,Parchment Lamp Shade with Leather Trim 15 inch,"The parchment colored material used in the construction of this shade casts a warm amber-yellow light into the room, highlighting the color patterns in the shade, as well as the leather lashing around the top and bottom. This is a great shade for rustic or western environments. The dimensions below indicate the Top Opening x Bottom Opening x the Side Measurement Overall Dimension: 5 inch x 15 inch x 10.5What are our customers saying about this piece?""Actually, I love the parchment lamp shade so much that I ordered a SECOND one this morning! It's just beautiful!""...(4 weeks later)...""Both lampshades arrived in excellent condition and look great!"" -Alice, Colorado""Received the shade today. I thought it would be nice, but it greatly exceeded my expectations. Great product. Thanks!"" -Richard, Texas",https://urbanforge.com/shop-product/lamp-shades/parchment-lamp-shade-with-leather-trim-15-inch/,https://cdn11.bigcommerce.com/s-p6f4il8ut9/products/13277/images/19870/900-059_900-021_900-053__51165__97663.1531086953.1280.1280.jpg?c=2,in stock,263.00 USD,,,Home & Garden > Lighting Accessories > Lamp Shades,Lighting > Lampshades,Urban Forge,,900-059,new,,,,,,,,,,,,,,,,4 oz,,,,No,, USD
